Producto,Categoría del Producto,Precio,Costo de envío,Fecha de Compra,Vendedor,Lugar de Compra,Calificación,Método de pago,Cantidad de cuotas,lat,lon
Guitarra acústica,Instrumentos musicales,434600.0,23500.0,28/06/2020,Rafael Acosta,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175
Kit de bancas,Muebles,245600.0,11300.0,24/09/2021,Lucas Olivera,Valledupar,3,Tarjeta de crédito,5,10.46314,-73.25322
Modelado predictivo,Libros,53800.0,1100.0,20/03/2023,Santiago Silva,Medellín,1,Tarjeta de crédito,10,6.25184,-75.56359
Microondas,Electrodomésticos,722600.0,36700.0,30/09/2021,Ángel Rodriguez,Cúcuta,5,Nequi,1,7.89391,-72.50782
Olla de presión,Artículos para el hogar,78300.0,4600.0,27/09/2022,Mariana Herrera,Cali,5,Tarjeta de crédito,10,3.43722,-76.5225
Mesa de comedor,Muebles,279300.0,15300.0,03/05/2022,Santiago Silva,Bogotá,2,Tarjeta de crédito,6,4.60971,-74.08175
Bicicleta,Deportes y diversión,475100.0,23500.0,13/12/2020,Juan Fernandez,Medellín,5,Tarjeta de crédito,4,6.25184,-75.56359
Olla de presión,Artículos para el hogar,72600.0,2100.0,10/02/2022,Camila Rivera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359
Iniciando en programación,Libros,49400.0,3300.0,01/04/2020,Rafael Acosta,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175
Cuerda para saltar,Deportes y diversión,22800.0,7300.0,20/10/2020,Mariana Herrera,Medellín,5,Tarjeta de débito,1,6.25184,-75.56359
Muñeca bebé,Juguetes,54600.0,1100.0,27/01/2022,Pedro Gomez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175
Dashboards con Power BI,Libros,33500.0,0.0,29/07/2021,Maria Alfonso,Bogotá,5,Cupón,1,4.60971,-74.08175
Celular ABXY,Electrónicos,701900.0,35600.0,11/01/2020,Juan Fernandez,Bogotá,5,Nequi,1,4.60971,-74.08175
Secadora de ropa,Electrodomésticos,1438900.0,77300.0,06/02/2020,Lucas Olivera,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359
Auriculares con micrófono,Electrónicos,55300.0,4000.0,04/07/2021,Maria Alfonso,Bogotá,1,Tarjeta de crédito,4,4.60971,-74.08175
Muñeca bebé,Juguetes,53200.0,3100.0,28/12/2020,Juliana Costa,Riohacha,5,Tarjeta de crédito,8,11.54444,-72.90722
Sillón,Muebles,222500.0,12400.0,14/02/2020,Beatriz Morales,Bogotá,3,Nequi,1,4.60971,-74.08175
Bicicleta,Deportes y diversión,535900.0,29200.0,11/10/2021,Lucas Olivera,Bogotá,3,Tarjeta de crédito,1,4.60971,-74.08175
Smartwatch,Electrónicos,172300.0,9400.0,11/02/2022,Santiago Silva,Bogotá,5,Tarjeta de crédito,8,4.60971,-74.08175
Ciencia de datos con Python,Libros,39700.0,2300.0,18/05/2022,Maria Alfonso,Bogotá,5,Tarjeta de crédito,10,4.60971,-74.08175
Vaso térmico,Deportes y diversión,66900.0,5900.0,06/07/2022,Maria Alfonso,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175
TV LED UHD 4K,Electrónicos,2761500.0,147300.0,15/12/2020,Rafael Acosta,Bogotá,5,Nequi,1,4.60971,-74.08175
Microondas,Electrodomésticos,555800.0,29800.0,04/12/2021,Maria Alfonso,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175
Refrigerador,Electrodomésticos,2185100.0,114500.0,09/02/2020,Maria Alfonso,Bogotá,1,Cupón,1,4.60971,-74.08175
Dashboards con Power BI,Libros,44400.0,0.0,15/04/2020,Ángel Rodriguez,Cartagena,1,Tarjeta de crédito,4,10.39972,-75.51444
Bloques de construcción,Juguetes,30900.0,0.0,05/03/2020,Juan Fernandez,Villavicencio,2,Nequi,1,4.142,-73.62664
TV LED UHD 4K,Electrónicos,2824600.0,150600.0,07/09/2021,Mariana Herrera,Pasto,5,Tarjeta de crédito,1,1.21361,-77.28111
Lavavajillas,Electrodomésticos,1527900.0,82000.0,04/08/2020,Felipe Santos,Bogotá,2,Tarjeta de crédito,2,4.60971,-74.08175
Mesa de centro,Muebles,182800.0,10100.0,25/11/2022,Mariana Herrera,Cali,5,Nequi,1,3.43722,-76.5225
Microondas,Electrodomésticos,714200.0,38400.0,27/07/2020,Pedro Gomez,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175
Olla de presión,Artículos para el hogar,83300.0,2600.0,17/01/2020,Beatriz Morales,Medellín,1,Tarjeta de crédito,10,6.25184,-75.56359
Vaso térmico,Deportes y diversión,35000.0,2600.0,12/09/2020,Pedro Gomez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359
Cama king,Muebles,695100.0,37200.0,23/01/2022,Izabela de León,Bogotá,4,Tarjeta de crédito,5,4.60971,-74.08175
Modelado predictivo,Libros,69700.0,10500.0,15/04/2022,Beatriz Morales,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175
Lavadora de ropa,Electrodomésticos,1356900.0,74600.0,02/01/2020,Mariana Herrera,Pasto,3,Tarjeta de crédito,2,1.21361,-77.28111
Iphone 15,Electrónicos,2351400.0,129900.0,17/02/2020,Camila Rivera,Bucaramanga,1,Tarjeta de crédito,1,7.12539,-73.1198
Guitarra acústica,Instrumentos musicales,204600.0,9100.0,28/05/2020,Izabela de León,Cali,5,Tarjeta de crédito,5,3.43722,-76.5225
TV LED UHD 4K,Electrónicos,2910000.0,153100.0,02/07/2021,Juliana Costa,Medellín,5,Nequi,1,6.25184,-75.56359
Olla de presión,Artículos para el hogar,62400.0,1500.0,01/04/2020,Maria Alfonso,Medellín,1,Tarjeta de crédito,2,6.25184,-75.56359
Secadora de ropa,Electrodomésticos,1090800.0,56300.0,01/09/2022,Ángel Rodriguez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175
Sillón,Muebles,262500.0,14400.0,06/09/2022,Lucas Olivera,Medellín,5,Nequi,1,6.25184,-75.56359
Modelado predictivo,Libros,55600.0,4000.0,26/12/2020,Maria Alfonso,Cartagena,5,Tarjeta de crédito,1,10.39972,-75.51444
TV LED UHD 4K,Electrónicos,1927400.0,108500.0,17/11/2022,Camila Rivera,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175
Dashboards con Power BI,Libros,30500.0,0.0,06/04/2020,Maria Alfonso,Bucaramanga,5,Tarjeta de crédito,8,7.12539,-73.1198
Armario,Muebles,508100.0,25200.0,03/02/2023,Camila Rivera,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359
Silla de oficina,Muebles,503700.0,27000.0,30/01/2020,Maria Alfonso,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359
Auriculares con micrófono,Electrónicos,161600.0,9000.0,21/10/2022,Felipe Santos,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175
TV LED UHD 4K,Electrónicos,2872800.0,151200.0,05/02/2020,Lucas Olivera,Bogotá,5,Nequi,1,4.60971,-74.08175
Set de vasos,Artículos para el hogar,34000.0,2000.0,26/10/2021,Juliana Costa,Pereira,1,Tarjeta de crédito,2,4.81333,-75.69611
Batería,Instrumentos musicales,677600.0,34300.0,24/07/2022,Maria Alfonso,Bogotá,5,Tarjeta de crédito,6,4.60971,-74.08175
Juego de mesa,Juguetes,150800.0,8200.0,24/02/2022,Izabela de León,Cali,5,Tarjeta de crédito,2,3.43722,-76.5225
Cuerda para saltar,Deportes y diversión,22600.0,0.0,09/09/2021,Ángel Rodriguez,Pereira,5,Nequi,1,4.81333,-75.69611
Auriculares con micrófono,Electrónicos,151300.0,8700.0,14/06/2021,Pedro Gomez,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359
Tablet ABXY,Electrónicos,903700.0,46300.0,30/10/2021,Camila Rivera,Cali,4,Nequi,1,3.43722,-76.5225
Ajedrez de madera,Juguetes,30300.0,0.0,13/04/2021,Rafael Acosta,Bucaramanga,5,Tarjeta de crédito,6,7.12539,-73.1198
Armario,Muebles,452000.0,24300.0,12/02/2020,Rafael Acosta,Pereira,4,Tarjeta de crédito,4,4.81333,-75.69611
Cubo mágico 8x8,Juguetes,18600.0,1200.0,12/05/2021,Beatriz Morales,Armenia,5,Nequi,1,4.53389,-75.68111
Dinosaurio Rex,Juguetes,13600.0,1400.0,11/01/2022,Camila Rivera,Medellín,5,Nequi,1,6.25184,-75.56359
Set de vasos,Artículos para el hogar,35700.0,0.0,08/07/2022,Pedro Gomez,Pereira,5,Nequi,1,4.81333,-75.69611
Armario,Muebles,451500.0,22200.0,30/05/2020,Maria Alfonso,Bogotá,3,Tarjeta de crédito,3,4.60971,-74.08175
Set de vasos,Artículos para el hogar,28100.0,0.0,04/10/2022,Juliana Costa,Cali,1,Tarjeta de crédito,10,3.43722,-76.5225
Batería,Instrumentos musicales,546600.0,31500.0,15/12/2021,Felipe Santos,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359
Carrito de control remoto,Juguetes,57100.0,1200.0,13/02/2023,Juan Fernandez,Cali,3,Tarjeta de crédito,2,3.43722,-76.5225
Muñeca bebé,Juguetes,42900.0,0.0,03/02/2021,Blanca Ramirez,Cali,5,Nequi,1,3.43722,-76.5225
Sofá reclinable,Muebles,712900.0,36100.0,10/11/2022,Camila Rivera,Cali,1,Tarjeta de crédito,5,3.43722,-76.5225
Bloques de construcción,Juguetes,27000.0,1800.0,21/01/2023,Izabela de León,Bogotá,5,Tarjeta de crédito,10,4.60971,-74.08175
Mesa de noche,Muebles,321000.0,15300.0,24/10/2021,Lucas Olivera,Bogotá,2,Tarjeta de crédito,10,4.60971,-74.08175
Cama king,Muebles,658200.0,39800.0,22/03/2022,Juliana Costa,Barranquilla,1,Tarjeta de crédito,2,10.96854,-74.78132
Refrigerador,Electrodomésticos,2461500.0,135700.0,29/09/2022,Juliana Costa,Medellín,5,Tarjeta de crédito,6,6.25184,-75.56359
Vaso térmico,Deportes y diversión,29500.0,7400.0,18/12/2020,Pedro Gomez,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175
Cubertería,Artículos para el hogar,53100.0,1000.0,26/03/2022,Juan Fernandez,Bogotá,2,Tarjeta de crédito,5,4.60971,-74.08175
Cuerda para saltar,Deportes y diversión,8600.0,900.0,17/08/2022,Beatriz Morales,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175
Cama box,Muebles,590200.0,29600.0,18/01/2022,Maria Alfonso,Bogotá,5,Nequi,1,4.60971,-74.08175
Silla de oficina,Muebles,514600.0,29800.0,15/09/2021,Rafael Acosta,Cartagena,5,Tarjeta de crédito,10,10.39972,-75.51444
Mesa de centro,Muebles,208200.0,11300.0,01/05/2022,Lucas Olivera,Pereira,5,Tarjeta de crédito,1,4.81333,-75.69611
Cuerda para saltar,Deportes y diversión,10000.0,900.0,06/11/2020,Mariana Herrera,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359
Set de ollas,Artículos para el hogar,108100.0,6200.0,08/02/2021,Izabela de León,Medellín,1,Tarjeta de crédito,3,6.25184,-75.56359
Modelado predictivo,Libros,64100.0,3600.0,22/06/2020,Blanca Ramirez,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359
Vaso térmico,Deportes y diversión,65000.0,3700.0,09/03/2021,Mariana Herrera,Bogotá,1,Cupón,1,4.60971,-74.08175
Mesa de centro,Muebles,157700.0,8600.0,06/07/2021,Felipe Santos,Santa Marta,5,Tarjeta de crédito,12,11.24079,-74.19904
Mesa de noche,Muebles,271900.0,14900.0,24/11/2022,Mariana Herrera,Bogotá,3,Nequi,1,4.60971,-74.08175
Smart TV,Electrónicos,1796000.0,96700.0,18/03/2020,Pedro Gomez,Cali,4,Tarjeta de crédito,4,3.43722,-76.5225
Olla de presión,Artículos para el hogar,70900.0,2000.0,01/04/2021,Juliana Costa,Cartagena,5,Tarjeta de crédito,10,10.39972,-75.51444
Armario,Muebles,450700.0,24700.0,29/08/2021,Blanca Ramirez,Medellín,1,Tarjeta de crédito,2,6.25184,-75.56359
Bloques de construcción,Juguetes,32300.0,0.0,28/03/2020,Lucas Olivera,Bogotá,5,Nequi,1,4.60971,-74.08175
Balón de baloncesto,Deportes y diversión,59600.0,1400.0,12/11/2022,Lucas Olivera,Bogotá,4,Tarjeta de débito,1,4.60971,-74.08175
Set de vasos,Artículos para el hogar,40800.0,2600.0,06/02/2022,Juliana Costa,Pereira,5,Nequi,1,4.81333,-75.69611
Cubertería,Artículos para el hogar,54600.0,4000.0,26/02/2020,Mariana Herrera,Bogotá,5,Tarjeta de débito,1,4.60971,-74.08175
Lavadora de ropa,Electrodomésticos,1570900.0,81800.0,16/06/2022,Pedro Gomez,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359
Iphone 15,Electrónicos,1881900.0,100400.0,22/04/2021,Pedro Gomez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175
Lavadora de ropa,Electrodomésticos,1307000.0,69800.0,04/12/2021,Juliana Costa,Medellín,5,Tarjeta de crédito,6,6.25184,-75.56359
Juego de mesa,Juguetes,163400.0,6900.0,06/06/2022,Maria Alfonso,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175
Muñeca bebé,Juguetes,46700.0,2900.0,05/11/2020,Felipe Santos,Leticia,5,Tarjeta de crédito,1,-4.21528,-69.94056
Kit de bancas,Muebles,272000.0,12700.0,14/02/2023,Camila Rivera,Pereira,4,Tarjeta de crédito,10,4.81333,-75.69611
Mesa de comedor,Muebles,217000.0,9700.0,14/09/2021,Pedro Gomez,Pereira,1,Cupón,1,4.81333,-75.69611
Balón de voleibol,Deportes y diversión,48800.0,800.0,03/03/2022,Maria Alfonso,Bogotá,5,Nequi,1,4.60971,-74.08175
Cubertería,Artículos para el hogar,34600.0,4200.0,26/10/2020,Ángel Rodriguez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175
Dashboards con Power BI,Libros,44000.0,2700.0,08/04/2021,Maria Alfonso,Cúcuta,3,Tarjeta de crédito,1,7.89391,-72.50782
Set de vasos,Artículos para el hogar,39800.0,2500.0,21/04/2022,Camila Rivera,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175
Sofá reclinable,Muebles,646900.0,34800.0,27/07/2020,Mariana Herrera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359
Mochila,Deportes y diversión,107000.0,8100.0,26/04/2022,Izabela de León,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175
Mesa de noche,Muebles,269600.0,20000.0,08/01/2021,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175
Juego de mesa,Juguetes,193400.0,8500.0,01/11/2022,Juan Fernandez,Cali,5,Nequi,1,3.43722,-76.5225
